GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006
Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
8600000US01005,01005,ZCTA5 01005,2044,0,0,0,2044,0
8600000US01007,01007,ZCTA5 01007,5839,2602,2602,0,3237,0
8600000US01008,01008,ZCTA5 01008,586,0,0,0,586,0
8600000US01009,01009,ZCTA5 01009,341,290,290,0,51,0
8600000US01010,01010,ZCTA5 01010,1598,0,0,0,1598,0
8600000US01011,01011,ZCTA5 01011,659,0,0,0,659,0
8600000US01012,01012,ZCTA5 01012,343,0,0,0,343,0
8600000US01013,01013,ZCTA5 01013,10246,10246,10246,0,0,0
8600000US01020,01020,ZCTA5 01020,13688,13688,13688,0,0,0
8600000US01022,01022,ZCTA5 01022,1209,1209,1209,0,0,0
8600000US01026,01026,ZCTA5 01026,513,0,0,0,513,0
8600000US01027,01027,ZCTA5 01027,8311,7326,7326,0,985,0
8600000US01028,01028,ZCTA5 01028,6106,5952,5952,0,154,0
8600000US01029,01029,ZCTA5 01029,1078,0,0,0,1078,0
8600000US01030,01030,ZCTA5 01030,4582,4126,4126,0,456,0
8600000US01031,01031,ZCTA5 01031,596,191,0,191,405,0
8600000US01032,01032,ZCTA5 01032,363,0,0,0,363,0
8600000US01033,01033,ZCTA5 01033,2454,1420,1420,0,1034,0
8600000US01034,01034,ZCTA5 01034,1145,0,0,0,1145,0
8600000US01035,01035,ZCTA5 01035,2230,1319,1205,114,911,0
8600000US01036,01036,ZCTA5 01036,1937,1030,1030,0,907,0
8600000US01037,01037,ZCTA5 01037,253,0,0,0,253,0
8600000US01038,01038,ZCTA5 01038,1181,0,0,0,1181,0
8600000US01039,01039,ZCTA5 01039,640,215,215,0,425,0
8600000US01040,01040,ZCTA5 01040,16384,16169,16169,0,215,0
8600000US01050,01050,ZCTA5 01050,1167,21,21,0,1146,0
8600000US01053,01053,ZCTA5 01053,636,482,482,0,154,0
8600000US01054,01054,ZCTA5 01054,811,0,0,0,811,0
8600000US01056,01056,ZCTA5 01056,8383,7461,7461,0,922,0
8600000US01057,01057,ZCTA5 01057,3470,1049,1049,0,2421,0
8600000US01060,01060,ZCTA5 01060,7307,6711,6711,0,596,0
8600000US01062,01062,ZCTA5 01062,4784,4286,4286,0,498,0
8600000US01063,01063,ZCTA5 01063,1,1,1,0,0,0
8600000US01066,01066,ZCTA5 01066,25,0,0,0,25,0
8600000US01068,01068,ZCTA5 01068,711,0,0,0,711,0
8600000US01069,01069,ZCTA5 01069,3779,3001,3001,0,778,0
8600000US01070,01070,ZCTA5 01070,320,0,0,0,320,0
8600000US01071,01071,ZCTA5 01071,638,195,195,0,443,0
8600000US01072,01072,ZCTA5 01072,748,0,0,0,748,0
8600000US01073,01073,ZCTA5 01073,2337,451,451,0,1886,0
8600000US01074,01074,ZCTA5 01074,132,0,0,0,132,0
8600000US01075,01075,ZCTA5 01075,7162,6921,6921,0,241,0
8600000US01077,01077,ZCTA5 01077,3916,2140,2140,0,1776,0
8600000US01079,01079,ZCTA5 01079,325,213,213,0,112,0
8600000US01080,01080,ZCTA5 01080,1093,1093,1093,0,0,0
8600000US01081,01081,ZCTA5 01081,820,0,0,0,820,0
8600000US01082,01082,ZCTA5 01082,4768,3217,2,3215,1551,0
8600000US01083,01083,ZCTA5 01083,1270,699,0,699,571,0
8600000US01084,01084,ZCTA5 01084,88,0,0,0,88,0
8600000US01085,01085,ZCTA5 01085,16363,15038,15038,0,1325,0
8600000US01086,01086,ZCTA5 01086,0,0,0,0,0,0
8600000US01088,01088,ZCTA5 01088,357,0,0,0,357,0
8600000US01089,01089,ZCTA5 01089,12697,12489,12489,0,208,0
8600000US01092,01092,ZCTA5 01092,591,269,0,269,322,0
8600000US01093,01093,ZCTA5 01093,156,0,0,0,156,0
8600000US01094,01094,ZCTA5 01094,171,0,0,0,171,0
8600000US01095,01095,ZCTA5 01095,5535,4803,4803,0,732,0
8600000US01096,01096,ZCTA5 01096,1029,0,0,0,1029,0
8600000US01097,01097,ZCTA5 01097,40,25,25,0,15,0
8600000US01098,01098,ZCTA5 01098,610,0,0,0,610,0
8600000US01103,01103,ZCTA5 01103,1661,1661,1661,0,0,0
8600000US01104,01104,ZCTA5 01104,9381,9381,9381,0,0,0
8600000US01105,01105,ZCTA5 01105,5586,5586,5586,0,0,0
8600000US01106,01106,ZCTA5 01106,6107,6107,6107,0,0,0
8600000US01107,01107,ZCTA5 01107,4252,4252,4252,0,0,0
8600000US01108,01108,ZCTA5 01108,10992,10992,10992,0,0,0
8600000US01109,01109,ZCTA5 01109,10818,10818,10818,0,0,0
8600000US01118,01118,ZCTA5 01118,5911,5911,5911,0,0,0
8600000US01119,01119,ZCTA5 01119,5185,5185,5185,0,0,0
8600000US01128,01128,ZCTA5 01128,1077,1077,1077,0,0,0
8600000US01129,01129,ZCTA5 01129,2982,2982,2982,0,0,0
8600000US01151,01151,ZCTA5 01151,3699,3699,3699,0,0,0
8600000US01199,01199,ZCTA5 01199,0,0,0,0,0,0
8600000US01201,01201,ZCTA5 01201,22443,20664,20664,0,1779,0
8600000US01220,01220,ZCTA5 01220,4434,3980,3980,0,454,0
8600000US01222,01222,ZCTA5 01222,361,0,0,0,361,0
8600000US01223,01223,ZCTA5 01223,1986,0,0,0,1986,0
8600000US01224,01224,ZCTA5 01224,81,81,81,0,0,0
8600000US01225,01225,ZCTA5 01225,1466,819,819,0,647,0
8600000US01226,01226,ZCTA5 01226,2993,2129,2129,0,864,0
8600000US01229,01229,ZCTA5 01229,61,0,0,0,61,0
8600000US01230,01230,ZCTA5 01230,4633,1829,0,1829,2804,0
8600000US01235,01235,ZCTA5 01235,1507,291,291,0,1216,0
8600000US01236,01236,ZCTA5 01236,784,472,0,472,312,0
8600000US01237,01237,ZCTA5 01237,1334,247,247,0,1087,0
8600000US01238,01238,ZCTA5 01238,3155,2081,0,2081,1074,0
8600000US01240,01240,ZCTA5 01240,2920,2016,296,1720,904,0
8600000US01242,01242,ZCTA5 01242,214,214,0,214,0,0
8600000US01243,01243,ZCTA5 01243,188,0,0,0,188,0
8600000US01244,01244,ZCTA5 01244,84,0,0,0,84,0
8600000US01245,01245,ZCTA5 01245,914,0,0,0,914,0
8600000US01247,01247,ZCTA5 01247,7785,5994,4,5990,1791,0
8600000US01253,01253,ZCTA5 01253,568,0,0,0,568,0
8600000US01254,01254,ZCTA5 01254,591,0,0,0,591,0
8600000US01255,01255,ZCTA5 01255,671,0,0,0,671,0
8600000US01256,01256,ZCTA5 01256,357,0,0,0,357,0
8600000US01257,01257,ZCTA5 01257,1231,0,0,0,1231,0
8600000US01258,01258,ZCTA5 01258,338,0,0,0,338,0
8600000US01259,01259,ZCTA5 01259,431,0,0,0,431,0
8600000US01260,01260,ZCTA5 01260,134,33,0,33,101,0
8600000US01262,01262,ZCTA5 01262,1068,357,0,357,711,0
8600000US01264,01264,ZCTA5 01264,109,0,0,0,109,0
8600000US01266,01266,ZCTA5 01266,1096,0,0,0,1096,0
8600000US01267,01267,ZCTA5 01267,3202,2025,0,2025,1177,0
8600000US01270,01270,ZCTA5 01270,441,0,0,0,441,0
8600000US01301,01301,ZCTA5 01301,8485,7514,0,7514,971,0
8600000US01330,01330,ZCTA5 01330,771,0,0,0,771,0
8600000US01331,01331,ZCTA5 01331,6028,3710,0,3710,2318,0
8600000US01337,01337,ZCTA5 01337,1165,0,0,0,1165,0
8600000US01338,01338,ZCTA5 01338,82,0,0,0,82,0
8600000US01339,01339,ZCTA5 01339,787,0,0,0,787,0
8600000US01340,01340,ZCTA5 01340,954,0,0,0,954,0
8600000US01341,01341,ZCTA5 01341,801,0,0,0,801,0
8600000US01342,01342,ZCTA5 01342,518,124,0,124,394,0
8600000US01343,01343,ZCTA5 01343,38,0,0,0,38,0
8600000US01344,01344,ZCTA5 01344,654,233,0,233,421,0
8600000US01346,01346,ZCTA5 01346,429,0,0,0,429,0
8600000US01347,01347,ZCTA5 01347,75,0,0,0,75,0
8600000US01349,01349,ZCTA5 01349,496,347,0,347,149,0
8600000US01350,01350,ZCTA5 01350,77,0,0,0,77,0
8600000US01351,01351,ZCTA5 01351,1032,69,0,69,963,0
8600000US01354,01354,ZCTA5 01354,608,100,0,100,508,0
8600000US01355,01355,ZCTA5 01355,418,0,0,0,418,0
8600000US01360,01360,ZCTA5 01360,1391,0,0,0,1391,0
8600000US01364,01364,ZCTA5 01364,3652,2217,0,2217,1435,0
8600000US01366,01366,ZCTA5 01366,566,0,0,0,566,0
8600000US01367,01367,ZCTA5 01367,300,0,0,0,300,0
8600000US01368,01368,ZCTA5 01368,578,0,0,0,578,0
8600000US01370,01370,ZCTA5 01370,1976,0,0,0,1976,0
8600000US01373,01373,ZCTA5 01373,2076,900,0,900,1176,0
8600000US01375,01375,ZCTA5 01375,1729,1309,0,1309,420,0
8600000US01376,01376,ZCTA5 01376,2503,2503,0,2503,0,0
8600000US01378,01378,ZCTA5 01378,441,0,0,0,441,0
8600000US01379,01379,ZCTA5 01379,420,0,0,0,420,0
8600000US01420,01420,ZCTA5 01420,17128,15978,15978,0,1150,0
8600000US01430,01430,ZCTA5 01430,2606,230,230,0,2376,0
8600000US01431,01431,ZCTA5 01431,1191,131,131,0,1060,0
8600000US01432,01432,ZCTA5 01432,3422,3286,3286,0,136,0
8600000US01434,01434,ZCTA5 01434,122,122,122,0,0,0
8600000US01436,01436,ZCTA5 01436,1214,1009,1009,0,205,0
8600000US01438,01438,ZCTA5 01438,214,195,195,0,19,0
8600000US01440,01440,ZCTA5 01440,9179,8728,8728,0,451,0
8600000US01450,01450,ZCTA5 01450,3989,2538,2538,0,1451,0
8600000US01451,01451,ZCTA5 01451,1824,27,27,0,1797,0
8600000US01452,01452,ZCTA5 01452,1662,0,0,0,1662,0
8600000US01453,01453,ZCTA5 01453,17912,17428,17428,0,484,0
8600000US01460,01460,ZCTA5 01460,3477,3160,3160,0,317,0
8600000US01462,01462,ZCTA5 01462,4133,2962,2962,0,1171,0
8600000US01463,01463,ZCTA5 01463,4348,2613,2613,0,1735,0
8600000US01464,01464,ZCTA5 01464,2427,1658,1658,0,769,0
8600000US01467,01467,ZCTA5 01467,141,0,0,0,141,0
8600000US01468,01468,ZCTA5 01468,1671,365,365,0,1306,0
8600000US01469,01469,ZCTA5 01469,2572,1332,1332,0,1240,0
8600000US01473,01473,ZCTA5 01473,2960,1438,1438,0,1522,0
8600000US01474,01474,ZCTA5 01474,813,350,350,0,463,0
8600000US01475,01475,ZCTA5 01475,4179,2471,2471,0,1708,0
8600000US01501,01501,ZCTA5 01501,6770,6535,6535,0,235,0
8600000US01503,01503,ZCTA5 01503,1189,451,451,0,738,0
8600000US01504,01504,ZCTA5 01504,3628,3408,3408,0,220,0
8600000US01505,01505,ZCTA5 01505,1778,1034,1034,0,744,0
8600000US01506,01506,ZCTA5 01506,1493,530,0,530,963,0
8600000US01507,01507,ZCTA5 01507,4885,1444,1444,0,3441,0
8600000US01510,01510,ZCTA5 01510,6397,6393,6393,0,4,0
8600000US01515,01515,ZCTA5 01515,931,556,0,556,375,0
8600000US01516,01516,ZCTA5 01516,3306,1383,1383,0,1923,0
8600000US01518,01518,ZCTA5 01518,1326,854,854,0,472,0
8600000US01519,01519,ZCTA5 01519,2539,2373,2373,0,166,0
8600000US01520,01520,ZCTA5 01520,5339,4721,4721,0,618,0
8600000US01521,01521,ZCTA5 01521,1365,0,0,0,1365,0
8600000US01522,01522,ZCTA5 01522,1298,892,892,0,406,0
8600000US01523,01523,ZCTA5 01523,2462,1575,1575,0,887,0
8600000US01524,01524,ZCTA5 01524,2594,1901,1901,0,693,0
8600000US01525,01525,ZCTA5 01525,120,120,120,0,0,0
8600000US01527,01527,ZCTA5 01527,5618,5143,5143,0,475,0
8600000US01529,01529,ZCTA5 01529,1162,885,885,0,277,0
8600000US01531,01531,ZCTA5 01531,390,0,0,0,390,0
8600000US01532,01532,ZCTA5 01532,5314,4976,4976,0,338,0
8600000US01534,01534,ZCTA5 01534,2123,1896,1896,0,227,0
8600000US01535,01535,ZCTA5 01535,2058,1303,0,1303,755,0
8600000US01536,01536,ZCTA5 01536,2794,2690,2690,0,104,0
8600000US01537,01537,ZCTA5 01537,1077,872,872,0,205,0
8600000US01540,01540,ZCTA5 01540,4395,3417,3417,0,978,0
8600000US01541,01541,ZCTA5 01541,1339,0,0,0,1339,0
8600000US01542,01542,ZCTA5 01542,829,664,664,0,165,0
8600000US01543,01543,ZCTA5 01543,2990,1260,1260,0,1730,0
8600000US01545,01545,ZCTA5 01545,13955,13955,13955,0,0,0
8600000US01550,01550,ZCTA5 01550,7527,6671,6671,0,856,0
8600000US01560,01560,ZCTA5 01560,1844,1844,1844,0,0,0
8600000US01561,01561,ZCTA5 01561,102,102,102,0,0,0
8600000US01562,01562,ZCTA5 01562,5295,3745,3717,28,1550,0
8600000US01564,01564,ZCTA5 01564,2965,1244,1244,0,1721,0
8600000US01566,01566,ZCTA5 01566,2663,1416,1416,0,1247,0
8600000US01568,01568,ZCTA5 01568,2808,1687,1687,0,1121,0
